rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,dem_source,flowline_type,ref_hgt_qc_diff,inversion_glen_a,inversion_fs,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias
RGI60-09.00032,09,09-02,Severny Island Ice Cap (Severny Island),66.132,76.6788,5.379,2000,Ice cap,Land-terminating,False,Glacier or ice cap,0.4525556401080325,0.3437110863204708,0.0,0.0,COPDEM,elevation_band,170.0,2.804597255283034e-24,0,,,417.25177001953125,418.90765380859375,170.58297729492188,527.610107421875,527.5537109375,170.58297729492188,0.000326797385620915,66.06759894419307,76.66703182718175,2688.0,5379000.0,415.91326878204865,517.6956774812538,179.4008653032814,0.12953808014567336,2001.1160714285716,57.58523143769938,215.0781035710557,1995,224.71951398306138,224.71951398306138,True,361.1678959220666
RGI60-09.00033,09,09-02,Severny Island Ice Cap (Severny Island),57.9265,75.4014,4.296,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.5553797687385577,0.2523145480697561,0.008112837931969439,0.0,COPDEM,elevation_band,,2.804597255283034e-24,0,,,200.1743621826172,199.96240234375,106.12774658203125,317.8534851074219,317.8534851074219,106.12774658203125,0.0,57.85502092447199,75.40397511679872,4368.0,4296000.0,201.1320560505332,303.9378634251599,115.97975783108424,0.04370098048356779,983.5164835164835,286.7320191618477,461.4956311300474,1995,126.98149577992022,126.98149577992024,True,383.2018368703944
RGI60-09.00034,09,09-02,(Severny Island),56.8576,74.4386,5.209,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.5261733492857308,0.32886386647226473,0.00030889419994697064,0.0,COPDEM,elevation_band,,2.804597255283034e-24,0,,,498.7610168457031,514.8763427734375,5.157253265380859,856.2483520507812,856.2483520507812,5.157253265380859,0.0,56.858353858516146,74.41937881550226,4872.0,5208999.999999999,500.83488464950466,844.747364289799,25.27142600605874,0.1684530075989705,1069.1707717569786,177.9128892595943,357.4543525792941,1995,285.46154919279155,285.46154919279144,True,407.03205188122695
RGI60-09.00035,09,09-02,(Severny Island),57.7073,74.5414,4.371,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.5076898778125287,0.25839108523603843,0.0,0.0,COPDEM,elevation_band,260.0,2.804597255283034e-24,0,,,486.95123291015625,484.4576416015625,367.6212463378906,652.6091918945312,652.6091918945312,367.6212463378906,0.0,57.751194878934015,74.54089019999522,3666.0,4371000.000000001,488.29828317289616,625.606101463195,383.10887564293193,0.0691747048443782,1192.3076923076922,460.6310530076624,867.3754088345177,1995,116.0143472111663,116.0143472111663,True,406.9357623838556
RGI60-09.00036,09,09-02,Severny Island Ice Cap (Severny Island),66.4865,76.7157,3.644,2000,Ice cap,Land-terminating,False,Glacier or ice cap,0.3502625681297729,0.2012098204218171,8.905133214227816e-06,0.0,COPDEM,elevation_band,80.0,2.804597255283034e-24,0,,,356.70074462890625,384.760009765625,52.60630416870117,505.4512939453125,505.4512939453125,52.60630416870117,0.0,66.40618661923051,76.71410318795611,3404.0,3644000.0,350.0940530843428,487.52781780808283,60.454027869407284,0.1264092907303762,1070.5052878965923,36.279106824519374,342.42962430712635,1995,225.15907648589624,225.15907648589624,True,361.0885501609492
RGI60-09.00037,09,09-02,Severny Island Ice Cap (Severny Island),65.7944,76.4994,2.662,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.18071536773601632,0.1306591977717944,0.0,0.0,COPDEM,elevation_band,339.0,2.804597255283034e-24,0,,,492.8584289550781,501.2282409667969,303.5663146972656,672.8466186523438,672.8466186523438,303.5663146972656,0.0,65.8327199398449,76.50644462105731,2244.0,2661999.999999999,494.5053043177737,663.5517998925585,321.75093059206483,0.15357745073324644,1186.2745098039213,429.38208730710346,849.2515552618046,1995,149.05418674460398,149.05418674460398,True,361.25291094884665
RGI60-09.00038,09,09-02,(Severny Island),56.5386,74.5172,2.82,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.2514875600924242,0.1414397372801269,0.0,0.0,COPDEM,elevation_band,180.0,2.804597255283034e-24,0,,,428.82440185546875,427.4459533691406,334.06097412109375,597.4259643554688,597.4259643554688,334.06097412109375,0.0,56.51675408875055,74.51377118851556,2312.0,2820000.0,430.40142929323616,586.7414437464635,353.425554953817,0.10518068691797679,1219.7231833910034,426.00905541889676,793.9112408176304,1995,120.66123119142489,120.66123119142492,True,407.11160682181867
RGI60-09.00039,09,09-02,(Severny Island),64.7329,76.3323,2.364,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.18519678596253558,0.11097986478107402,0.0,0.0,COPDEM,elevation_band,210.0,2.804597255283034e-24,0,,,395.6645202636719,406.8219909667969,90.08061218261719,580.5181274414062,580.5181274414062,90.08061218261719,0.0,64.77048586597037,76.34643832308639,2944.0,2363999.999999999,398.14254100980764,572.167391834545,99.98988171624235,0.1659159175284706,802.9891304347823,74.4403812994749,220.73555796977956,1995,136.459468357276,136.45946835727597,True,361.49287032820604
RGI60-09.00040,09,09-02,Severny Island Ice Cap (Severny Island),56.9011,74.9525,1.865,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.15087263854410024,0.0801054965343183,0.0,0.0,COPDEM,elevation_band,30.0,2.804597255283034e-24,0,,,351.40704345703125,354.10882568359375,193.84292602539062,532.5581665039062,532.5581665039062,193.84292602539062,0.0,56.87433059429968,74.94248101377963,2668.0,1864999.9999999998,352.42761019490007,536.2478315850618,208.27067702159474,0.12476536590229151,699.0254872563717,175.55796897421683,439.8597015416064,1995,173.22061121839232,173.22061121839232,True,383.3076817678863
RGI60-09.00041,09,09-02,Severny Island Ice Cap (Severny Island),63.9717,76.2389,3.617,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.31614215356596687,0.19916275105110773,0.0,0.0,COPDEM,elevation_band,290.0,2.804597255283034e-24,0,,,445.98291015625,478.2440185546875,184.73907470703125,639.408935546875,639.408935546875,186.31385803222656,0.0,63.92477093297743,76.25608987749305,3700.0,3616999.9999999995,450.4664270950157,633.6065644684971,204.74568946534473,0.11686103460429483,977.5675675675675,334.95897408716576,473.2856261628555,1995,126.83040327083589,126.83040327083584,True,381.9860021162174
RGI60-09.00042,09,09-02,(Severny Island),58.5805,75.5742,1.879,2000,Ice cap,Land-terminating,False,Glacier or ice cap,0.16248210165516144,0.080933484653881,0.0,0.0,COPDEM,elevation_band,90.0,2.804597255283034e-24,0,,,507.33154296875,549.322265625,180.6988525390625,694.3899536132812,694.3899536132812,180.6988525390625,0.0,58.640592989838545,75.5786235512999,3306.0,1879000.0000000002,508.04723187092446,691.2216702977688,205.9442325480658,0.1468307232570241,568.3605565638234,149.68101002666396,249.1333404478829,1995,237.47973418365214,237.47973418365214,True,383.0894027280457
RGI60-09.00043,09,09-02,(Severny Island),58.5568,75.5803,1.368,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.08218199427905505,0.05231151537120062,0.0,0.0,COPDEM,elevation_band,239.0,2.804597255283034e-24,0,,,538.052978515625,547.78564453125,327.0324401855469,691.3577270507812,691.3577270507812,327.0324401855469,0.0,58.59594205907495,75.58587872614623,2184.0,1368000.0,540.3734096106626,689.9042990682109,358.4383804179219,0.15363543897056556,626.3736263736264,191.5933237379162,328.59379371068616,1995,158.17943332331384,158.1794333233138,True,383.0961614217297
